timestamp,alt,pres,a_x,a_y,a_z,g_x,g_y,g_z,temp
1555,-0.02,999.20,0.091,0.666,9.649,0.474,-0.415,0.991,35.66
1603,-0.02,999.20,0.613,1.116,9.634,0.310,-0.300,1.622,35.67
1614,-0.06,999.21,0.522,1.374,9.586,0.281,-0.276,1.729,35.66
1657,-0.04,999.21,0.728,1.274,9.898,0.185,-0.199,1.824,35.66
1668,-0.04,999.21,1.010,1.307,9.907,0.163,-0.163,1.925,35.66
1679,-0.05,999.21,1.279,1.231,9.926,0.145,-0.117,2.071,35.64
1723,-0.05,999.21,0.785,0.948,9.984,0.094,0.029,2.727,35.66
1733,0.01,999.20,0.886,0.867,9.984,0.098,0.046,2.818,35.67
1777,0.03,999.20,0.924,1.164,9.610,0.144,0.149,2.988,35.65
1787,0.04,999.20,0.603,1.451,9.615,0.148,0.177,3.083,35.65
1798,0.02,999.20,0.230,1.633,9.692,0.148,0.195,3.175,35.67
1842,-0.00,999.20,-0.445,1.551,9.615,0.098,0.176,2.302,35.64
1853,-0.02,999.20,-0.498,1.853,9.352,0.078,0.176,2.105,35.68
1897,-0.05,999.21,-0.661,1.250,9.538,-0.031,0.164,1.652,35.68
1907,-0.03,999.20,-0.733,1.192,9.577,-0.047,0.149,1.387,35.69
1918,-0.05,999.21,-0.651,1.164,9.476,-0.067,0.133,1.067,35.66
1962,0.03,999.20,0.326,1.255,9.448,-0.151,0.118,0.577,35.66
1973,-0.00,999.20,0.306,1.025,9.601,-0.167,0.126,0.663,35.67
2017,-0.04,999.21,-0.168,0.517,9.629,-0.155,0.096,0.515,35.67
2028,-0.02,999.20,-0.340,0.402,9.615,-0.141,0.080,0.415,35.70
2039,0.00,999.20,-0.445,0.517,9.610,-0.126,0.063,0.288,35.68
2084,-0.05,999.21,0.048,0.565,9.658,-0.124,0.042,0.339,35.66
2095,-0.04,999.21,0.024,0.498,9.778,-0.130,0.035,0.337,35.68
2139,-0.07,999.21,0.953,0.560,9.821,-0.164,0.046,0.044,35.68
2150,-0.03,999.20,0.939,0.503,9.735,-0.173,0.071,0.094,35.67
2161,-0.04,999.21,0.833,0.627,9.668,-0.178,0.097,0.135,35.69
2206,-0.06,999.21,-0.359,0.622,9.706,-0.224,0.180,0.370,35.68
2216,-0.08,999.21,-0.627,0.335,9.663,-0.224,0.173,0.201,35.68
2262,-0.12,999.21,0.522,-0.019,9.328,-0.168,0.154,-0.472,35.66
2273,-0.12,999.21,0.809,0.311,9.232,-0.149,0.183,-0.399,35.68
2284,-0.15,999.22,0.785,0.383,9.285,-0.139,0.215,-0.219,35.70
2330,-0.15,999.22,0.915,0.675,10.578,-0.147,0.345,0.200,35.69
2341,-0.15,999.22,1.298,-0.991,11.004,-0.148,0.386,0.049,35.64
2387,-0.13,999.22,0.220,0.527,10.726,-0.109,0.663,-0.472,35.72
2397,-0.10,999.21,-0.311,0.972,10.549,-0.127,0.718,-0.360,35.68
2408,-0.09,999.21,-1.154,1.192,10.534,-0.159,0.752,-0.197,35.69
2456,-0.09,999.21,-2.274,-0.962,8.820,-0.203,0.570,-0.268,35.68
2466,-0.09,999.21,-2.150,-0.613,8.552,-0.173,0.488,-0.481,35.70
2504,-0.07,999.21,-2.744,-1.350,8.614,-0.097,0.225,-0.379,35.71
2514,-0.06,999.21,-2.763,-0.230,7.963,-0.062,0.131,-0.389,35.68
2525,-0.09,999.21,-2.418,-1.566,8.399,-0.035,0.044,-0.271,35.69
2562,-0.10,999.21,-0.101,0.096,11.128,0.199,-0.146,-0.857,35.72
2572,-0.10,999.21,0.560,0.182,10.558,0.251,-0.173,-0.948,35.69
2609,-0.06,999.21,-1.815,1.063,9.979,0.296,-0.338,-0.746,35.69
2619,-0.05,999.21,-1.623,0.259,9.155,0.314,-0.383,-0.754,35.71
2630,-0.05,999.21,-1.810,-0.417,8.983,0.330,-0.415,-0.645,35.70
2667,-0.01,999.20,-2.974,-1.427,10.041,0.416,-0.494,-0.111,35.71
2677,-0.03,999.20,-1.738,-1.422,10.271,0.457,-0.525,-0.021,35.69
2714,0.04,999.20,0.139,0.057,9.275,0.577,-0.466,-0.311,35.70
2725,0.01,999.20,0.153,0.699,9.218,0.582,-0.429,-0.280,35.68
2735,-0.05,999.21,-0.249,1.279,9.266,0.566,-0.389,-0.189,35.69
2772,-0.06,999.21,-0.608,1.307,9.850,0.456,-0.290,0.310,35.69
2782,-0.05,999.21,-1.068,0.953,9.716,0.427,-0.258,0.403,35.69
2819,-0.01,999.20,-0.555,0.503,9.515,0.374,-0.172,0.398,35.69
2830,0.02,999.20,-0.345,0.876,9.227,0.361,-0.138,0.294,35.69
2840,0.07,999.19,-0.426,1.379,8.835,0.340,-0.095,0.216,35.69
2877,0.10,999.19,-0.742,1.906,8.471,0.210,-0.019,1.075,35.69
2887,0.11,999.19,-0.646,2.241,8.495,0.159,-0.002,1.472,35.68
2936,0.06,999.19,1.120,3.577,10.578,-0.131,0.156,2.180,35.71
2947,0.02,999.20,0.771,2.892,10.113,-0.206,0.226,1.940,35.68
2957,0.02,999.20,0.268,2.102,9.682,-0.268,0.296,1.478,35.71
2994,-0.01,999.20,-0.431,1.623,9.342,-0.431,0.419,1.518,35.70
3005,0.00,999.20,0.072,1.336,9.457,-0.471,0.464,1.651,35.72
3041,-0.07,999.21,0.733,1.628,9.299,-0.550,0.675,1.637,35.73
3052,-0.07,999.21,0.814,2.016,9.376,-0.575,0.739,1.763,35.71
3062,-0.10,999.21,0.737,2.227,9.194,-0.607,0.809,1.969,35.72
3099,0.02,999.20,0.737,1.997,8.926,-0.676,1.007,2.270,35.70
3109,0.01,999.20,0.397,2.073,8.562,-0.678,1.054,2.207,35.69
3146,0.08,999.19,-1.954,2.179,8.844,-0.709,1.060,2.558,35.69
