timestamp,alt,pres,a_x,a_y,a_z,g_x,g_y,g_z,temp
2891,0.01,999.64,0.043,-0.848,10.123,-0.009,-0.630,-0.027,28.12
2902,-0.01,999.64,0.134,-0.824,10.027,0.059,-0.679,-0.063,28.11
2914,0.03,999.64,0.350,-0.589,9.826,0.091,-0.671,-0.079,28.12
2925,0.04,999.63,0.455,-0.575,9.946,0.080,-0.610,-0.065,28.11
2937,0.01,999.64,0.412,-0.393,10.013,0.056,-0.524,-0.051,28.10
2948,0.05,999.63,0.503,-0.455,10.367,-0.017,-0.442,-0.032,28.08
2960,0.06,999.63,0.311,-0.493,10.908,-0.072,-0.408,-0.096,28.10
2971,0.06,999.63,0.239,-0.369,10.841,-0.060,-0.397,-0.207,28.08
2983,0.06,999.63,0.196,-0.144,10.247,0.002,-0.298,-0.313,28.09
2997,0.05,999.63,-0.057,0.273,9.644,0.052,0.006,-0.276,28.11
3008,0.05,999.63,-0.383,0.441,9.787,0.031,0.299,-0.148,28.11
3020,0.07,999.63,-0.843,0.417,10.333,-0.063,0.490,-0.007,28.12
3031,0.06,999.63,-1.053,0.340,10.922,-0.196,0.431,0.112,28.12
3043,0.07,999.63,-1.159,-0.014,11.559,-0.324,0.147,0.153,28.12
3054,0.08,999.63,-0.862,-0.369,11.789,-0.345,-0.227,0.090,28.09
3066,0.07,999.63,-0.326,-0.321,11.449,-0.253,-0.623,-0.064,28.09
3078,0.10,999.63,0.354,-0.436,10.836,-0.082,-0.845,-0.207,28.11
3089,0.12,999.62,0.584,-0.014,10.180,0.078,-0.794,-0.272,28.11
3101,0.12,999.62,0.795,0.101,10.175,0.154,-0.549,-0.220,28.08
3115,0.12,999.62,0.809,0.024,10.578,0.143,-0.218,-0.102,28.10
3126,0.11,999.63,0.752,-0.043,11.004,0.074,-0.101,-0.049,28.11
3138,0.13,999.62,0.867,-0.316,11.358,0.007,-0.189,-0.051,28.10
3149,0.15,999.62,1.044,-0.292,11.439,0.024,-0.358,-0.170,28.10
3161,0.13,999.62,1.044,-0.053,11.013,0.124,-0.437,-0.360,28.09
3172,0.12,999.62,1.173,0.230,10.467,0.208,-0.327,-0.445,28.13
3184,0.12,999.62,1.106,0.393,10.142,0.238,-0.036,-0.396,28.10
3195,0.09,999.63,0.833,0.402,10.209,0.204,0.243,-0.294,28.11
3207,0.10,999.63,0.685,0.306,10.180,0.139,0.414,-0.184,28.10
3219,0.11,999.63,0.603,0.215,10.190,0.066,0.423,-0.122,28.11
3233,0.12,999.63,0.704,-0.091,10.285,0.047,0.299,-0.164,28.10
3244,0.16,999.62,0.814,-0.034,10.242,0.103,0.133,-0.267,28.09
3256,0.16,999.62,0.862,0.091,9.912,0.200,-0.008,-0.367,28.12
3267,0.21,999.61,0.967,0.359,9.529,0.295,0.005,-0.384,28.09
3278,0.14,999.62,0.843,0.785,8.983,0.321,0.155,-0.307,28.11
3290,0.18,999.62,0.795,0.838,9.036,0.274,0.408,-0.130,28.10
3302,0.17,999.62,0.393,0.910,9.658,0.183,0.695,0.064,28.12
3313,0.20,999.62,0.043,0.666,10.195,0.069,0.798,0.217,28.11
3325,0.16,999.62,0.000,0.235,10.774,-0.047,0.703,0.262,28.12
3337,0.22,999.61,0.259,-0.283,11.009,-0.078,0.458,0.143,28.12
3351,0.25,999.61,0.493,-0.263,10.496,0.044,0.181,-0.129,28.11
3362,0.26,999.61,0.326,0.014,9.902,0.172,0.120,-0.252,28.15
3373,0.24,999.61,0.124,0.326,9.467,0.242,0.191,-0.230,28.13
3385,0.27,999.61,-0.081,0.412,9.749,0.253,0.356,-0.132,28.14
3396,0.21,999.61,-0.407,0.244,10.195,0.213,0.442,-0.049,28.11
3408,0.21,999.61,-0.508,0.053,10.501,0.148,0.350,-0.049,28.12
3419,0.27,999.61,-0.211,-0.086,10.295,0.117,0.111,-0.119,28.13
3431,0.29,999.60,0.139,-0.144,9.653,0.171,-0.155,-0.226,28.17
