alt,pres,a_x,a_y,a_z,g_x,g_y,g_z,temp
0.04,993.35,-0.757,0.259,9.811,0.032,0.023,-0.054,36.69
0.03,993.35,-0.833,0.637,9.864,0.031,0.022,-0.055,36.68
0.01,993.35,-0.819,0.402,9.821,0.033,0.023,-0.054,36.69
0.02,993.35,-0.838,0.460,9.720,0.030,0.021,-0.056,36.67
0.04,993.35,-0.804,0.455,9.768,0.031,0.023,-0.056,36.69
0.04,993.35,-0.804,0.426,9.759,0.032,0.022,-0.058,36.68
0.04,993.35,-0.814,0.460,9.831,0.031,0.023,-0.055,36.68
0.04,993.35,-0.838,0.436,9.754,0.031,0.023,-0.056,36.69
0.04,993.35,-0.781,0.469,9.649,0.034,0.021,-0.056,36.71
0.02,993.35,-0.781,0.316,9.787,0.033,0.023,-0.055,36.70
0.00,993.36,-0.800,0.589,9.802,0.033,0.023,-0.056,36.68
0.04,993.35,-0.833,0.402,9.811,0.031,0.023,-0.055,36.69
0.04,993.35,-0.776,0.450,9.687,0.034,0.023,-0.056,36.68
0.06,993.35,-0.876,0.488,9.778,0.033,0.022,-0.058,36.69
0.06,993.35,-0.838,0.479,9.773,0.032,0.023,-0.058,36.70
0.09,993.35,-0.814,0.455,9.720,0.033,0.022,-0.057,36.70
0.10,993.35,-0.824,0.455,9.778,0.033,0.024,-0.056,36.68
0.05,993.35,-0.852,0.479,9.778,0.030,0.022,-0.056,36.68
0.04,993.35,-0.843,0.493,9.845,0.032,0.023,-0.055,36.70
0.04,993.35,-0.800,0.455,9.740,0.031,0.021,-0.054,36.70
0.09,993.35,-0.848,0.484,9.797,0.032,0.022,-0.056,36.69
0.07,993.35,-0.833,0.445,9.764,0.031,0.022,-0.054,36.69
0.04,993.35,-0.833,0.474,9.768,0.031,0.020,-0.056,36.70
0.02,993.35,-0.848,0.474,9.749,0.032,0.024,-0.056,36.67
-0.03,993.36,-0.838,0.441,9.735,0.031,0.019,-0.056,36.70
0.02,993.35,-0.848,0.450,9.754,0.030,0.023,-0.056,36.69
0.05,993.35,-0.833,0.479,9.764,0.031,0.022,-0.054,36.71
0.02,993.35,-0.804,0.445,9.773,0.032,0.022,-0.056,36.70
0.07,993.35,-0.814,0.484,9.744,0.032,0.025,-0.055,36.67
0.05,993.35,-0.800,0.484,9.749,0.032,0.023,-0.057,36.70
0.05,993.35,-0.814,0.484,9.749,0.030,0.022,-0.057,36.70
0.02,993.35,-0.824,0.474,9.749,0.030,0.021,-0.055,36.70
-0.01,993.36,-0.795,0.479,9.716,0.032,0.021,-0.056,36.70
0.03,993.35,-0.781,0.445,9.797,0.031,0.022,-0.056,36.69
0.04,993.35,-0.833,0.464,9.725,0.030,0.023,-0.055,36.69
-0.00,993.36,-0.790,0.464,9.792,0.031,0.022,-0.058,36.69
-0.00,993.36,-0.819,0.455,9.701,0.031,0.023,-0.055,36.68
0.05,993.35,-0.819,0.464,9.773,0.032,0.022,-0.056,36.69
0.04,993.35,-0.828,0.450,9.725,0.030,0.023,-0.056,36.68
0.04,993.35,-0.819,0.450,9.792,0.031,0.023,-0.057,36.69
0.06,993.35,-0.838,0.464,9.754,0.030,0.022,-0.056,36.69
0.02,993.35,-0.838,0.464,9.725,0.031,0.023,-0.056,36.69
-0.01,993.36,-0.828,0.445,9.768,0.031,0.022,-0.056,36.68
0.01,993.36,-0.824,0.484,9.778,0.031,0.022,-0.055,36.71
0.03,993.35,-0.862,0.460,9.697,0.031,0.022,-0.056,36.70
0.04,993.35,-0.843,0.402,9.744,0.031,0.025,-0.056,36.70
0.07,993.35,-0.824,0.431,9.725,0.031,0.022,-0.057,36.69
0.08,993.35,-0.785,0.469,9.754,0.032,0.023,-0.057,36.69
0.04,993.35,-0.819,0.431,9.725,0.033,0.023,-0.056,36.69
-0.01,993.36,-0.843,0.445,9.764,0.033,0.022,-0.056,36.70
0.02,993.35,-0.828,0.474,9.768,0.033,0.023,-0.055,36.72
-0.01,993.36,-0.790,0.508,9.792,0.030,0.023,-0.056,36.71
0.05,993.35,-0.833,0.412,9.792,0.031,0.021,-0.056,36.69
0.02,993.35,-0.795,0.436,9.749,0.030,0.024,-0.055,36.67
0.05,993.35,-0.848,0.436,9.764,0.033,0.023,-0.055,36.71
0.04,993.35,-0.785,0.460,9.701,0.031,0.023,-0.054,36.69
0.05,993.35,-0.819,0.436,9.744,0.031,0.023,-0.056,36.68
0.07,993.35,-0.814,0.460,9.720,0.031,0.025,-0.056,36.72
0.03,993.35,-0.828,0.445,9.744,0.030,0.022,-0.057,36.69
0.02,993.35,-0.833,0.455,9.778,0.032,0.023,-0.056,36.67
0.06,993.35,-0.809,0.460,9.720,0.031,0.022,-0.058,36.67
0.06,993.35,-0.809,0.455,9.807,0.032,0.021,-0.058,36.72
0.10,993.34,-0.809,0.455,9.730,0.033,0.024,-0.056,36.69
0.01,993.36,-0.857,0.479,9.716,0.031,0.022,-0.055,36.69
-0.01,993.36,-0.852,0.464,9.735,0.031,0.022,-0.058,36.71
-0.00,993.36,-0.824,0.469,9.759,0.029,0.024,-0.056,36.70
0.01,993.36,-0.848,0.455,9.754,0.032,0.024,-0.055,36.69
0.01,993.36,-0.838,0.517,9.797,0.033,0.021,-0.057,36.71
0.01,993.35,-0.843,0.469,9.725,0.031,0.022,-0.056,36.69
-0.02,993.36,-0.833,0.436,9.735,0.031,0.022,-0.056,36.69
-0.03,993.36,-0.857,0.460,9.754,0.031,0.024,-0.058,36.68
0.01,993.36,-0.828,0.455,9.697,0.032,0.023,-0.054,36.70
-0.00,993.36,-0.852,0.464,9.720,0.033,0.023,-0.056,36.67
0.04,993.35,-0.800,0.455,9.725,0.030,0.021,-0.056,36.69
0.01,993.36,-0.819,0.469,9.773,0.032,0.022,-0.056,36.68
0.01,993.36,-0.819,0.436,9.735,0.032,0.022,-0.058,36.69
0.02,993.35,-0.857,0.445,9.749,0.033,0.022,-0.056,36.67
-0.01,993.36,-0.838,0.450,9.720,0.032,0.022,-0.057,36.68
-0.03,993.36,-0.809,0.445,9.764,0.031,0.024,-0.056,36.67
